OBJECTID,GEOID10,GEOID20,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,CSA,CSA_Name,CBSA,CBSA_Name,CBSA_POP,CBSA_EMP,CBSA_WRK,Ac_Total,Ac_Water,Ac_Land,Ac_Unpr,TotPop,CountHU,HH,P_WrkAge,AutoOwn0,Pct_AO0,AutoOwn1,Pct_AO1,AutoOwn2p,Pct_AO2p,Workers,R_LowWageWk,R_MedWageWk,R_HiWageWk,R_PCTLOWWAGE,TotEmp,E5_Ret,E5_Off,E5_Ind,E5_Svc,E5_Ent,E8_Ret,E8_off,E8_Ind,E8_Svc,E8_Ent,E8_Ed,E8_Hlth,E8_Pub,E_LowWageWk,E_MedWageWk,E_HiWageWk,E_PctLowWage,D1A,D1B,D1C,D1C5_RET,D1C5_OFF,D1C5_IND,D1C5_SVC,D1C5_ENT,D1C8_RET,D1C8_OFF,D1C8_IND,D1C8_SVC,D1C8_ENT,D1C8_ED,D1C8_HLTH,D1C8_PUB,D1D,D1_FLAG,D2A_JPHH,D2B_E5MIX,D2B_E5MIXA,D2B_E8MIX,D2B_E8MIXA,D2A_EPHHM,D2C_TRPMX1,D2C_TRPMX2,D2C_TRIPEQ,D2R_JOBPOP,D2R_WRKEMP,D2A_WRKEMP,D2C_WREMLX,D3A,D3AAO,D3AMM,D3APO,D3B,D3BAO,D3BMM3,D3BMM4,D3BPO3,D3BPO4,D4A,D4B025,D4B050,D4C,D4D,D4E,D5AR,D5AE,D5BR,D5BE,D5CR,D5CRI,D5CE,D5CEI,D5DR,D5DRI,D5DE,D5DEI,D2A_Ranked,D2B_Ranked,D3B_Ranked,D4A_Ranked,NatWalkInd,Shape_Length,Shape_Area
21,481130000000.0,481130000000.0,48,113,13400,1,206.0,"Dallas-Fort Worth, TX-OK",19100.0,"Dallas-Fort Worth-Arlington, TX",7189384,3545715,3364458,258.9331248,0.0,258.9331248,258.9331248,846,322.0,308.0,0.52,0,0.0,29,0.094155844,279,0.905844156,462,64,83,315,0.138528139,206,0,39,15,144,8,0,39,15,32,8,108,4,0,19,57,130,0.09223301,1.243564338,3.267252889,0.795572216,0.0,0.150618041,0.057930016,0.556128151,0.030896008,0.0,0.150618041,0.057930016,0.123584034,0.030896008,0.417096113,0.015448004,0.0,2.039136555,0,0.668831169,0.636446269,0.548204977,0.745831955,0.642649212,0.63806954,0.509064693,0.55392044,0.728879966,0.391634981,0.616766467,2.242718447,0.288598611,23.38040015,5.74117055,4.053340192,13.58588941,46.15616488,7.415042017,14.83008403,9.886722689,39.54689076,0.0,-99999.0,0.0,0.0,1.33,3.287335294,0.001572104,437485,282701,-99999,-99999,0.000401509,0.792933138,0.00033296,0.783231101,-99999.0,-99999.0,-99999.0,-99999.0,14,13,9,1,7.833333333,4703.083904,1047889.148
22,481130000000.0,481130000000.0,48,113,13607,2,206.0,"Dallas-Fort Worth, TX-OK",19100.0,"Dallas-Fort Worth-Arlington, TX",7189384,3545715,3364458,103.352046,0.0,103.352046,98.63697,811,341.0,341.0,0.517,20,0.058651026,88,0.258064516,233,0.683284457,351,73,60,218,0.207977208,23,0,1,7,15,0,0,1,7,5,0,0,10,0,7,5,11,0.304347826,3.457121605,8.222069271,0.23317829,0.0,0.010138187,0.070967306,0.152072798,0.0,0.0,0.010138187,0.070967306,0.050690933,0.0,0.0,0.101381865,0.0,3.690299895,0,0.06744868,0.707384219,0.48286485,0.860033024,0.573355349,0.205405607,0.208607041,0.219174753,0.001133826,0.055155875,0.122994652,15.26086957,6.40594e-07,24.70315394,0.0,4.630227629,20.07292631,115.6249969,0.0,12.384854,24.76970799,86.69397798,24.76970799,598.14,0.0,0.0,1.33,8.235927908,0.001639951,441725,300082,137840,54115,0.0004054,0.800618056,0.000353431,0.831385652,0.000534688,0.188077851,0.00048103,0.139279243,3,11,15,15,12.33333333,2752.770825,418257.6493
23,483290000000.0,483290000000.0,48,329,305,1,372.0,"Midland-Odessa, TX",33260.0,"Midland, TX",169808,95348,74566,93.4351817,0.0,93.4351817,93.4351817,1217,406.0,406.0,0.607,55,0.13546798,153,0.376847291,198,0.487684729,441,79,107,255,0.179138322,52,1,14,11,26,0,1,14,11,9,0,0,17,0,5,25,22,0.096153846,4.345258313,13.02507233,0.556535547,0.010702607,0.149836494,0.117728674,0.278267774,0.0,0.010702607,0.149836494,0.117728674,0.09632346,0.0,0.0,0.181944314,0.0,4.90179386,0,0.128078818,0.796679961,0.686222767,0.886613583,0.686217662,0.297769399,0.290144731,0.307710968,0.018192853,0.081954295,0.210953347,8.480769231,0.000563824,17.63052928,0.0,1.677048351,15.95348093,57.09883475,0.0,6.849668277,6.849668277,47.94767794,13.69933655,-99999.0,0.0,0.0,-99999.0,-99999.0,-99999.0,38618,34439,-99999,-99999,0.010428467,0.855459318,0.010633975,0.843534916,-99999.0,-99999.0,-99999.0,-99999.0,5,15,10,1,7.0,2696.023179,378125.5601
24,483290000000.0,483290000000.0,48,329,305,5,372.0,"Midland-Odessa, TX",33260.0,"Midland, TX",169808,95348,74566,159.0140391,0.0,159.0140391,159.0140391,1572,541.0,541.0,0.403,44,0.081330869,129,0.23844732,368,0.680221811,568,110,134,324,0.193661972,51,0,14,15,5,17,0,11,15,5,17,0,0,3,10,22,19,0.196078431,3.40221532,9.885919563,0.320726398,0.0,0.088042541,0.094331294,0.031443765,0.106908799,0.0,0.069176282,0.094331294,0.031443765,0.106908799,0.0,0.0,0.018866259,3.722941719,0,0.094269871,0.944027998,0.813141458,0.90176231,0.697942415,0.252434872,0.282431155,0.298354051,0.005451307,0.06284658,0.164781906,11.1372549,3.95773e-05,19.29204539,0.0,4.018042806,15.27400258,75.14707549,0.0,32.19841486,16.09920743,20.12400929,24.14881115,-99999.0,0.0,0.0,-99999.0,-99999.0,-99999.0,42583,37963,-99999,-99999,0.011499182,0.943291319,0.011722106,0.929850344,-99999.0,-99999.0,-99999.0,-99999.0,4,15,12,1,7.5,3212.635346,643520.7777
25,483290000000.0,483290000000.0,48,329,401,1,372.0,"Midland-Odessa, TX",33260.0,"Midland, TX",169808,95348,74566,328.7850825,0.0,328.7850825,328.78229,1529,597.0,572.0,0.623,16,0.027972028,131,0.229020979,425,0.743006993,758,123,240,395,0.162269129,477,38,79,257,34,69,38,9,257,32,69,0,2,70,40,99,338,0.083857442,1.815791234,4.650493796,1.450808071,0.115578001,0.240280582,0.781672273,0.103411896,0.209865318,0.115578001,0.027373737,0.781672273,0.097328843,0.209865318,0.0,0.006083053,0.212906845,3.266599305,0,0.833916084,0.808033123,0.808033123,0.706692809,0.661312512,0.714600977,0.724554571,0.727481777,0.885176148,0.47557328,0.772469636,1.589098532,0.554827218,13.69744332,0.0,0.944381533,12.75306178,65.55820549,0.0,15.57248267,3.893120668,56.45024969,13.62592234,-99999.0,0.0,0.0,-99999.0,-99999.0,-99999.0,42889,39861,-99999,-99999,0.011581815,0.950069778,0.012308164,0.976339187,-99999.0,-99999.0,-99999.0,-99999.0,17,14,11,1,9.166666667,4714.972046,1330575.971
26,483290000000.0,483290000000.0,48,329,402,1,372.0,"Midland-Odessa, TX",33260.0,"Midland, TX",169808,95348,74566,185.8486049,0.0,185.8486049,185.8486049,994,396.0,376.0,0.542,0,0.0,140,0.372340426,236,0.627659574,674,122,193,359,0.181008902,294,14,28,12,195,45,14,28,12,26,45,96,73,0,94,113,87,0.319727891,2.1307666,5.348439395,1.581932779,0.075330132,0.150660265,0.064568685,1.049241129,0.242132568,0.075330132,0.150660265,0.064568685,0.139898817,0.242132568,0.516549479,0.392792833,0.0,3.712699379,0,0.781914894,0.658045087,0.658045087,0.880118654,0.823601812,0.64203415,0.637699025,0.702649708,0.60206825,0.456521739,0.607438017,2.292517007,0.274578796,21.99131358,0.410014171,2.691942893,18.88935652,129.7365671,0.0,27.54930554,6.887326384,48.21128469,72.31692703,-99999.0,0.0,0.0,-99999.0,-99999.0,-99999.0,43715,40072,-99999,-99999,0.011804869,0.968367189,0.012373316,0.981507336,-99999.0,-99999.0,-99999.0,-99999.0,15,19,16,1,11.33333333,4215.146269,752120.4866
27,483290000000.0,483290000000.0,48,329,402,2,372.0,"Midland-Odessa, TX",33260.0,"Midland, TX",169808,95348,74566,106.8450516,0.0,106.8450516,104.0077115,995,342.0,327.0,0.523,0,0.0,61,0.186544343,266,0.813455657,437,71,134,232,0.162471396,148,4,5,43,54,42,4,5,43,44,42,10,0,0,40,73,35,0.27027027,3.28821772,9.566598338,1.422971411,0.038458687,0.048073358,0.413430883,0.519192272,0.403816211,0.038458687,0.048073358,0.413430883,0.423045555,0.403816211,0.096146717,0.0,0.0,4.711189131,0,0.452599388,0.805536318,0.805536318,0.82114336,0.707541597,0.571677205,0.64239526,0.683317632,0.980567419,0.258967629,0.505982906,2.952702703,0.141890066,22.23695894,0.0,3.943394671,18.29356427,123.8249203,0.0,35.9398956,23.9599304,59.899826,35.9398956,-99999.0,0.0,0.0,-99999.0,-99999.0,-99999.0,43732,39128,-99999,-99999,0.01180946,0.96874377,0.012081831,0.958385382,-99999.0,-99999.0,-99999.0,-99999.0,12,16,16,1,10.33333333,2684.854495,432393.7297
28,483290000000.0,483290000000.0,48,329,402,3,372.0,"Midland-Odessa, TX",33260.0,"Midland, TX",169808,95348,74566,211.9984566,0.0,211.9984566,196.8977,1414,737.0,610.0,0.623,32,0.052459016,244,0.4,334,0.547540984,748,120,227,401,0.160427807,193,17,18,0,138,20,17,18,0,96,20,0,42,0,103,55,35,0.533678756,3.743060483,7.181394196,0.980204441,0.086339251,0.091418031,0.0,0.700871569,0.10157559,0.086339251,0.091418031,0.0,0.487562831,0.10157559,0.0,0.213308738,0.0,4.723264924,0,0.316393443,0.656434593,0.565421982,0.838427726,0.648922964,0.478553172,0.565923707,0.630033103,0.814212739,0.240199129,0.410201913,3.875647668,0.056379612,20.76541462,0.0,1.892619618,18.872795,126.8296026,0.0,21.13222932,3.018889903,87.54780718,51.32112834,-99999.0,0.0,0.0,-99999.0,-99999.0,-99999.0,42950,38995,-99999,-99999,0.011598287,0.95142104,0.012040764,0.955127734,-99999.0,-99999.0,-99999.0,-99999.0,9,13,16,1,9.333333333,3768.254846,857945.3618
29,481130000000.0,481130000000.0,48,113,13608,1,206.0,"Dallas-Fort Worth, TX-OK",19100.0,"Dallas-Fort Worth-Arlington, TX",7189384,3545715,3364458,480.5892378,0.0,480.5892378,427.64127,1306,461.0,461.0,0.466,0,0.0,42,0.091106291,419,0.908893709,635,94,115,426,0.148031496,314,97,14,37,55,111,97,14,37,54,111,0,1,0,160,103,51,0.50955414,1.078006339,3.05396156,0.734260283,0.226825629,0.03273772,0.086521116,0.12861247,0.259563349,0.226825629,0.03273772,0.086521116,0.126274061,0.259563349,0.0,0.002338409,0.0,1.812266622,0,0.681127983,0.88619476,0.88619476,0.804903371,0.693548344,0.699268285,0.74105802,0.808599461,0.657706607,0.387654321,0.66174921,2.022292994,0.359769046,19.13139719,1.898474652,3.530192189,13.70273035,79.04030513,7.990191411,2.663397137,13.31698568,75.9068184,13.31698568,761.76,0.0,0.0,5.67,7.550730883,0.004341501,459708,306179,116366,56137,0.000421904,0.833211897,0.000360612,0.848277563,0.000451389,0.15877733,0.000499003,0.144483394,16,15,12,14,13.83333333,5853.383136,1944918.692
30,481130000000.0,481130000000.0,48,113,13610,1,206.0,"Dallas-Fort Worth, TX-OK",19100.0,"Dallas-Fort Worth-Arlington, TX",7189384,3545715,3364458,107.2058176,0.0,107.2058176,107.2058176,1623,502.0,502.0,0.608,7,0.013944223,177,0.352589641,318,0.633466135,639,120,231,288,0.187793427,328,142,34,33,76,43,142,34,33,34,43,0,42,0,72,184,72,0.219512195,4.682581703,15.13910379,3.059535456,1.324554984,0.317146968,0.307819116,0.708916752,0.401097636,1.324554984,0.317146968,0.307819116,0.317146968,0.401097636,0.0,0.391769784,0.0,7.742117159,0,0.653386454,0.890768257,0.890768257,0.889046453,0.76605058,0.69069235,0.757690522,0.827933643,0.768404717,0.336237827,0.678386763,1.948170732,0.387449124,30.94881309,0.0,1.771584945,29.17722814,111.4506681,0.0,0.0,11.93965056,41.78877696,71.63790335,488.17,0.0,0.0,3.0,17.90947584,0.001848429,446558,300787,341424,158836,0.000409835,0.809377775,0.000354261,0.833338874,0.001324399,0.465861087,0.001411897,0.408806391,16,18,15,16,16.0,2844.178847,433858.4669
