Row ID,Incident Datetime,Incident Date,Incident Time,Incident Year,Incident Day of Week,Report Datetime,Incident ID,Incident Number,CAD Number,Report Type Code,Report Type Description,Filed Online,Incident Code,Incident Category,Incident Subcategory,Incident Description,Resolution,Intersection,CNN,Police District,Analysis Neighborhood,Supervisor District,Supervisor District 2012,Latitude,Longitude,Point,data_as_of,data_loaded_at
151070709024,2023/08/01 08:00:00 AM,2023/08/01,08:00,2023,Tuesday,2025/09/02 12:00:00 PM,1510707,250492510,252451496.0,II,Initial,,9024,Fraud,Fraud,"Fraudulent Game or Trick, Obtaining Money or Property",Open or Active,CARL ST \ COLE ST,26282000.0,Park,Haight Ashbury,8.0,5.0,37.76580047607,-122.44995880127,POINT (-122.449958801 37.765800476),2025/09/12 09:36:42 AM,2025/09/13 09:53:07 AM
151080115200,2023/04/29 12:00:00 AM,2023/04/29,00:00,2023,Saturday,2025/09/10 03:00:00 PM,1510801,250509444,252532161.0,II,Initial,,15200,Offences Against The Family And Children,Other,Domestic Violence (secondary only),Open or Active,20TH ST \ RHODE ISLAND ST,23756000.0,Southern,Potrero Hill,10.0,10.0,37.75967407227,-122.40207672119,POINT (-122.402076721 37.759674072),2025/09/12 09:36:42 AM,2025/09/13 09:53:07 AM
151073210125,2023/03/01 12:01:00 AM,2023/03/01,00:01,2023,Wednesday,2025/09/05 03:13:00 PM,1510732,250500066,252482223.0,II,Initial,,10125,Fraud,Fraud,"Theft, False Pretenses, Felony",Open or Active,GARFIELD ST \ RALSTON ST,22722000.0,Ingleside,Oceanview/Merced/Ingleside,11.0,11.0,37.71965789795,-122.46894836426,POINT (-122.468948364 37.719657898),2025/09/13 09:35:51 AM,2025/09/14 09:53:23 AM
151215864070,2023/06/05 12:00:00 AM,2023/06/05,00:00,2023,Monday,2025/09/16 03:58:00 PM,1512158,250521379,252592570.0,II,Initial,,64070,Suspicious Occ,Suspicious Occ,Suspicious Occurrence,Open or Active,14TH ST \ MISSION ST,24372000.0,Mission,Mission,9.0,9.0,37.7682723999,-122.41998291016,POINT (-122.41998291 37.7682724),2025/09/17 09:35:56 AM,2025/09/18 09:52:55 AM
151262364070,2023/09/18 11:32:00 AM,2023/09/18,11:32,2023,Monday,2025/09/18 11:32:00 AM,1512623,250525218,252611491.0,II,Initial,,64070,Suspicious Occ,Suspicious Occ,Suspicious Occurrence,Open or Active,LELAND AVE \ RUTLAND ST,20356000.0,Ingleside,Visitacion Valley,10.0,10.0,37.71254730225,-122.40734863281,POINT (-122.407348633 37.712547302),2025/09/19 09:36:56 AM,2025/09/20 09:53:36 AM
150981128150,2023/10/30 12:00:00 PM,2023/10/30,12:00,2023,Monday,2025/09/02 03:52:00 PM,1509811,250492974,252452392.0,II,Initial,,28150,Malicious Mischief,Vandalism,"Malicious Mischief, Vandalism to Property",Open or Active,CHURCH ST \ MARKET ST,25881000.0,Mission,Castro/Upper Market,8.0,8.0,37.76750564575,-122.42894744873,POINT (-122.428947449 37.767505646),2025/09/20 09:35:59 AM,2025/09/21 09:53:29 AM
150981127195,2023/10/30 12:00:00 PM,2023/10/30,12:00,2023,Monday,2025/09/02 03:52:00 PM,1509811,250492974,252452392.0,II,Initial,,27195,Other Miscellaneous,Trespass,Trespassing,Open or Active,CHURCH ST \ MARKET ST,25881000.0,Mission,Castro/Upper Market,8.0,8.0,37.76750564575,-122.42894744873,POINT (-122.428947449 37.767505646),2025/09/20 09:35:59 AM,2025/09/21 09:53:29 AM
150981106373,2023/10/30 12:00:00 PM,2023/10/30,12:00,2023,Monday,2025/09/02 03:52:00 PM,1509811,250492974,252452392.0,II,Initial,,6373,Larceny Theft,Larceny Theft - Other,"Theft, Other Property, $200-$950",Open or Active,CHURCH ST \ MARKET ST,25881000.0,Mission,Castro/Upper Market,8.0,8.0,37.76750564575,-122.42894744873,POINT (-122.428947449 37.767505646),2025/09/20 09:35:59 AM,2025/09/21 09:53:29 AM
151313168020,2023/07/26 12:00:00 AM,2023/07/26,00:00,2023,Wednesday,2025/09/20 04:00:00 PM,1513131,250530110,252632269.0,II,Initial,,68020,Miscellaneous Investigation,Miscellaneous Investigation,Miscellaneous Investigation,Open or Active,NORTHGATE DR \ UPLAND DR,22686000.0,Taraval,West of Twin Peaks,7.0,7.0,37.72872161865,-122.46180725098,POINT (-122.461807251 37.728721619),2025/09/21 09:35:24 AM,2025/09/22 09:54:54 AM
151353403412,2023/11/01 12:00:00 AM,2023/11/01,00:00,2023,Wednesday,2025/09/22 05:14:00 PM,1513534,250534203,252652635.0,II,Initial,,3412,Robbery,Robbery - Street,"Robbery, Att., Street or Public Place, W/ Knife",Open or Active,FILLMORE ST \ OFARRELL ST,26589000.0,Northern,Western Addition,5.0,5.0,37.78329086304,-122.43270874023,POINT (-122.43270874 37.783290863),2025/09/23 09:37:46 AM,2025/09/24 09:53:27 AM
133359403071,2023/10/31 10:00:00 AM,2023/10/31,10:00,2023,Tuesday,2023/10/31 10:00:00 AM,1333594,40699390,232900956.0,IS,Initial Supplement,,3071,Robbery,Robbery - Other,"Robbery, W/ Gun",Open or Active,HIGHLAND AVE \ PATTON ST,21258000.0,Ingleside,Bernal Heights,9.0,9.0,37.73735809326,-122.42311859131,POINT (-122.423118591 37.737358093),2025/09/23 09:37:46 AM,2025/09/24 09:53:27 AM
133359404011,2023/10/31 10:00:00 AM,2023/10/31,10:00,2023,Tuesday,2023/10/31 10:00:00 AM,1333594,40699390,232900956.0,IS,Initial Supplement,,4011,Assault,Aggravated Assault,"Assault, Aggravated, W/ Gun",Open or Active,HIGHLAND AVE \ PATTON ST,21258000.0,Ingleside,Bernal Heights,9.0,9.0,37.73735809326,-122.42311859131,POINT (-122.423118591 37.737358093),2025/09/23 09:37:46 AM,2025/09/24 09:53:27 AM
151353419057,2023/11/01 12:00:00 AM,2023/11/01,00:00,2023,Wednesday,2025/09/22 05:14:00 PM,1513534,250534203,252652635.0,II,Initial,,19057,Disorderly Conduct,Intimidation,Terrorist Threats,Open or Active,FILLMORE ST \ OFARRELL ST,26589000.0,Northern,Western Addition,5.0,5.0,37.78329086304,-122.43270874023,POINT (-122.43270874 37.783290863),2025/09/23 09:37:46 AM,2025/09/24 09:53:27 AM
151355864070,2023/04/15 12:00:00 AM,2023/04/15,00:00,2023,Saturday,2025/09/22 07:26:00 PM,1513558,250534435,252653012.0,II,Initial,,64070,Suspicious Occ,Suspicious Occ,Suspicious Occurrence,Open or Active,MISSION ST \ ONONDAGA AVE,21751000.0,Ingleside,Excelsior,11.0,11.0,37.72116470337,-122.43746185303,POINT (-122.437461853 37.721164703),2025/09/23 09:37:46 AM,2025/09/24 09:53:27 AM
151362428135,2023/10/01 12:12:00 AM,2023/10/01,00:12,2023,Sunday,2025/08/29 12:52:00 AM,1513624,256099613,,II,Coplogic Initial,True,28135,Malicious Mischief,Other,"Phone Calls, Harassing",Open or Active,CALIFORNIA ST \ MONTGOMERY ST,24729000.0,Central,Financial District/South Beach,3.0,3.0,37.79285049438,-122.4027633667,POINT (-122.402763367 37.792850494),2025/09/24 09:37:10 AM,2025/09/25 09:53:28 AM
151371474000,2023/07/18 12:00:00 PM,2023/07/18,12:00,2023,Tuesday,2024/10/06 02:00:00 PM,1513714,240098037,,IS,Initial Supplement,,74000,Missing Person,Missing Adult,Missing Adult,Open or Active,,,Out of SF,,,,,,,2025/09/24 09:37:10 AM,2025/09/25 09:53:28 AM
151295606374,2023/10/30 06:00:00 AM,2023/10/30,06:00,2023,Monday,2025/09/19 05:32:00 PM,1512956,250492974,,IS,Initial Supplement,,6374,Larceny Theft,Larceny Theft - Other,"Theft, Other Property, >$950",Open or Active,CHURCH ST \ MARKET ST,25881000.0,Mission,Castro/Upper Market,8.0,8.0,37.76750564575,-122.42894744873,POINT (-122.428947449 37.767505646),2025/09/26 09:37:23 AM,2025/09/27 09:55:10 AM
151295628150,2023/10/30 06:00:00 AM,2023/10/30,06:00,2023,Monday,2025/09/19 05:32:00 PM,1512956,250492974,,IS,Initial Supplement,,28150,Malicious Mischief,Vandalism,"Malicious Mischief, Vandalism to Property",Open or Active,CHURCH ST \ MARKET ST,25881000.0,Mission,Castro/Upper Market,8.0,8.0,37.76750564575,-122.42894744873,POINT (-122.428947449 37.767505646),2025/09/26 09:37:23 AM,2025/09/27 09:55:10 AM
151295627195,2023/10/30 06:00:00 AM,2023/10/30,06:00,2023,Monday,2025/09/19 05:32:00 PM,1512956,250492974,,IS,Initial Supplement,,27195,Other Miscellaneous,Trespass,Trespassing,Open or Active,CHURCH ST \ MARKET ST,25881000.0,Mission,Castro/Upper Market,8.0,8.0,37.76750564575,-122.42894744873,POINT (-122.428947449 37.767505646),2025/09/26 09:37:23 AM,2025/09/27 09:55:10 AM
151454606364,2023/08/08 10:47:00 PM,2023/08/08,22:47,2023,Tuesday,2025/09/26 11:49:00 AM,1514546,250542557,252691022.0,II,Initial,,6364,Larceny Theft,Larceny Theft - Shoplifting,"Theft, Shoplifting, >$950",Open or Active,FRANCE AVE \ MISSION ST,21735000.0,Ingleside,Excelsior,11.0,11.0,37.72001647949,-122.438331604,POINT (-122.438331604 37.720016479),2025/09/27 09:38:04 AM,2025/09/28 09:56:20 AM
151476515410,2023/08/01 12:00:00 AM,2023/08/01,00:00,2023,Tuesday,2025/09/27 12:00:00 PM,1514765,250505583,,IS,Initial Supplement,,15410,,,Cryptocurrency Related Crime (secondary code only),Open or Active,09TH ST \ JESSIE ST,24416000.0,Southern,South of Market,6.0,6.0,37.77671813965,-122.4153213501,POINT (-122.41532135 37.77671814),2025/09/28 09:36:30 AM,2025/09/29 09:58:43 AM
151474171000,2023/05/19 09:00:00 PM,2023/05/19,21:00,2023,Friday,2025/09/12 10:25:00 AM,1514741,230348353,,IS,Coplogic Supplement,True,71000,Lost Property,Lost Property,Lost Property,Open or Active,,,Central,,,,,,,2025/09/28 09:36:30 AM,2025/09/29 09:58:43 AM
151476510115,2023/08/01 12:00:00 AM,2023/08/01,00:00,2023,Tuesday,2025/09/27 12:00:00 PM,1514765,250505583,,IS,Initial Supplement,,10115,Fraud,Fraud,"Theft, Trick And Device, Felony",Open or Active,09TH ST \ JESSIE ST,24416000.0,Southern,South of Market,6.0,6.0,37.77671813965,-122.4153213501,POINT (-122.41532135 37.77671814),2025/09/28 09:36:30 AM,2025/09/29 09:58:43 AM
151586506374,2023/04/01 12:00:00 AM,2023/04/01,00:00,2023,Saturday,2025/09/25 02:09:00 PM,1515865,230409234,,IS,Coplogic Supplement,True,6374,Larceny Theft,Larceny Theft - Other,"Theft, Other Property, >$950",Open or Active,01ST ST \ FOLSOM ST,24522000.0,Southern,Financial District/South Beach,6.0,6.0,37.78730010986,-122.39447784424,POINT (-122.394477844 37.78730011),2025/10/02 09:38:33 AM,2025/10/03 09:56:24 AM
151641162050,2023/07/23 12:00:00 PM,2023/07/23,12:00,2023,Sunday,2023/07/23 02:30:00 PM,1516411,249003073,,IS,Initial Supplement,,62050,Warrant,Warrant,"Warrant Arrest, Enroute To Outside Jurisdiction",Open or Active,,,Out of SF,,,,,,,2025/10/04 09:37:51 AM,2025/10/05 09:56:01 AM
151607609024,2023/07/01 05:00:00 PM,2023/07/01,17:00,2023,Saturday,2025/10/02 10:43:00 AM,1516076,250554524,252751224.0,II,Initial,,9024,Fraud,Fraud,"Fraudulent Game or Trick, Obtaining Money or Property",Open or Active,BROADWAY \ KEARNY ST,24795000.0,Central,North Beach,3.0,3.0,37.79801559448,-122.40547180176,POINT (-122.405471802 37.798015594),2025/10/03 09:37:46 AM,2025/10/04 09:56:37 AM
151674715200,2023/02/01 12:00:00 AM,2023/02/01,00:00,2023,Wednesday,2025/10/05 10:45:00 AM,1516747,250560719,252781171.0,II,Initial,,15200,Offences Against The Family And Children,Other,Domestic Violence (secondary only),Open or Active,18TH ST \ CASTRO ST,25813000.0,Mission,Castro/Upper Market,8.0,8.0,37.760887146,-122.43499755859,POINT (-122.434997559 37.760887146),2025/10/07 09:37:37 AM,2025/10/08 09:58:05 AM
151674728135,2023/02/01 12:00:00 AM,2023/02/01,00:00,2023,Wednesday,2025/10/05 10:45:00 AM,1516747,250560719,252781171.0,II,Initial,,28135,Malicious Mischief,Other,"Phone Calls, Harassing",Open or Active,18TH ST \ CASTRO ST,25813000.0,Mission,Castro/Upper Market,8.0,8.0,37.760887146,-122.43499755859,POINT (-122.434997559 37.760887146),2025/10/07 09:37:37 AM,2025/10/08 09:58:05 AM
151698472000,2023/02/28 09:00:00 PM,2023/02/28,21:00,2023,Tuesday,2025/10/06 03:30:00 PM,1516984,230219500,230882819.0,IS,Initial Supplement,,72000,Non-Criminal,Non-Criminal,Found  Property,Open or Active,CLARION ALY \ VALENCIA ST,24173000.0,Mission,Mission,9.0,9.0,37.76291656494,-122.42169189453,POINT (-122.421691895 37.762916565),2025/10/07 09:37:37 AM,2025/10/08 09:58:05 AM
151801971000,2023/07/01 12:00:00 AM,2023/07/01,00:00,2023,Saturday,2025/10/04 10:41:00 AM,1518019,256108151,,II,Coplogic Initial,True,71000,Lost Property,Lost Property,Lost Property,Open or Active,,,Taraval,,,,,,,2025/10/12 09:34:38 AM,2025/10/13 09:56:01 AM
