CrimeType,DateTime,CaseNumber,Description,PoliceBeat,Address,City,State,Location
FORGERY & COUNTERFEITING,2023 Jan 01 06:01:00 AM,23-908624,THEFT BY USE OF ACCESS CARD,77X,200 BUSH ST,Oakland,CA,POINT (-122.28338 37.79898)
FORGERY & COUNTERFEITING,2023 Jan 01 06:10:00 AM,23-908757,THEFT BY USE OF ACCESS CARD,99X,1100 A ST,Oakland,CA,
FORGERY & COUNTERFEITING,2023 Jan 01 06:11:00 AM,23-908820,THEFT BY USE OF ACCESS CARD,99X,1100 A ST,Oakland,CA,
FORGERY & COUNTERFEITING,2023 Jan 01 06:16:00 AM,23-908686,THEFT BY USE OF ACCESS CARD,30X,7500 DEERWOOD AV,Oakland,CA,POINT (-122.17852 37.76277)
FORGERY & COUNTERFEITING,2023 Jan 01 06:17:00 AM,23-908591,THEFT BY USE OF ACCESS CARD,14Y,400 LAKE PARK AV,Oakland,CA,POINT (-122.24781 37.81132)
FORGERY & COUNTERFEITING,2023 Jan 01 06:18:00 AM,23-908622,THEFT BY USE OF ACCESS CARD,77X,S GRAND AVE,Oakland,CA,
PETTY THEFT,2023 Jan 01 06:23:00 AM,23-000250,THEFT,99X,3000 CAPITAL AV,Oakland,CA,
FORGERY & COUNTERFEITING,2023 Jan 01 06:24:00 AM,23-908653,THEFT BY USE OF ACCESS CARD,08X,3000 BROADWAY,Oakland,CA,POINT (-122.26209 37.81885)
FRAUD,2023 Jan 01 06:29:00 AM,23-000398,ACQUIRE LOST/ETC ACCESS CARD W/INTENT TO USE/ETC,30Y,2600 73RD AV,Oakland,CA,POINT (-122.17544 37.7669)
PETTY THEFT,2023 Jan 01 06:30:00 AM,23-000751,USE OTHERS ID:CREDIT/ETC,99X,,Oakland,CA,POINT (-122.27307 37.80508)
FORGERY & COUNTERFEITING,2023 Jan 01 06:55:00 AM,23-909615,THEFT BY USE OF ACCESS CARD,22Y,3400 CURRAN WY,Oakland,CA,POINT (-122.20827 37.79626)
FORGERY & COUNTERFEITING,2023 Jan 01 07:00:00 AM,23-909528,THEFT BY USE OF ACCESS CARD,14X,00 VERNON ST,Oakland,CA,
FORGERY & COUNTERFEITING,2023 Jan 01 07:48:00 AM,23-908945,THEFT BY USE OF ACCESS CARD,21Y,3100 WARD LN,Oakland,CA,POINT (-122.21229 37.79246)
OTHER,2023 Jan 01 07:55:00 AM,23-000038,VIOLATION CUSTODY DECREE,03Y,400 7TH ST,Oakland,CA,POINT (-122.27313 37.79908)
STOLEN VEHICLE,2023 Jan 01 08:00:00 AM,23-000282,VEHICLE THEFT - AUTO,21X,2700 GARDEN ST,Oakland,CA,POINT (-122.22317 37.79206)
STOLEN VEHICLE,2023 Jan 01 08:00:00 AM,23-045953,SC STOLEN VEHICLE - AUTO,20X,2500 E 10TH ST,Oakland,CA,POINT (-122.23609 37.779)
PETTY THEFT,2023 Jan 01 08:00:00 AM,23-051076,EMBEZZLEMENT [OVER $400],31X,8400 PARDEE DR,Oakland,CA,POINT (-122.20309 37.73382)
BURG - RESIDENTIAL,2023 Jan 01 08:00:00 AM,23-911439,BURGLARY-FORCIBLE ENTRY,17Y,800 E 28TH ST,Oakland,CA,POINT (-122.23728 37.80297)
FRAUD,2023 Jan 01 08:05:00 AM,23-924880,USE ANOTHER'S PERSONAL IDENTIFICATION TO OBTAIN CREDIT/ETC.,19X,2200 FOOTHILL BLVD,Oakland,CA,POINT (-122.23617 37.78615)
