objectid,nibrs_uniq,case_number,occured_on,approved_on,day_of_week,month,year,code_section,group_type,ibr_category,crime_against,ibr_offense,ibr_offense_description,pd_offense_category,violent_crime,property_crime,beat,neighborhood,service_area,division_number,division,block_addr,city,state,zip,query_run_date,geocode_status,geocode_score,latitude,longitude
78,182747_13A_2,20029517,2020-06-09 13:20:00,2020-06-10 06:52:36,3,6,2020,273.5 (A) PC SPOUSAL/COHABITANT ABUSE WITH SERIOUS INJURY (F) || ,A,ASSAULT OFFENSES,PE,13A,Aggravated Assault,Aggravated Assault,1,0,438.0,Paradise Hills,430.0,4.0,Southeastern,2400 Rancho DR,SAN DIEGO,CA,92139.0,2023-09-11 08:41:49,M,96.67,32.67553574962781,-117.0633291204409
79,155889_13B_2,20012583,2020-02-29 08:50:00,2020-03-03 07:11:09,7,2,2020,273.5 (A) PC SPOUSAL/COHABITANT ABUSE WITH MINOR INJURY (F) || ,A,ASSAULT OFFENSES,PE,13B,Simple Assault,Simple Assault,0,0,713.0,Otay Mesa,710.0,7.0,Southern,6600 Gateway Park DR,SAN DIEGO,CA,92154.0,2023-09-11 08:41:49,M,97.14,32.56212655850774,-116.9968795791354
80,2803441_23G,20052290,2020-10-21 13:00:00,2020-10-23 16:06:47,4,10,2020,487 (A) PC GRAND THEFT (Theft of Mot Veh Parts/Acc) (F) || ,A,LARCENY/THEFT OFFENSES,PR,23G,Theft of Motor Vehicle Parts/Accessories,Larceny,0,1,611.0,Midway District,610.0,6.0,Western,3300 Sports Arena BLVD,SAN DIEGO,CA,92110.0,2023-09-11 08:41:49,M,97.3,32.753156202179,-117.20860914260582
81,3021010_26B,22038991,2022-09-02 06:20:17,2022-09-08 19:21:59,6,9,2022,484 G PC THEFT BY USE OF ACCESS CARD INFORMATION [$950 OR LESS] (M) || ,A,FRAUD OFFENSES,PR,26B,Credit Card/Automatic Teller Fraud,Fraud/Counterfeiting,0,0,822.0,El Cerrito,820.0,8.0,Mid-City,4300 56th ST,SAN DIEGO,CA,92115.0,2023-09-11 08:41:49,M,96.43,32.754990224049024,-117.0750454121654
82,2950558_240_1,22300289,2022-01-14 23:30:00,2022-01-28 04:21:46,6,1,2022,10851 (A) VC TAKE VEHICLE W/O OWNER'S CONSENT/VEHICLE THEFT (F) || ,A,MOTOR VEHICLE THEFT,PR,240,Motor Vehicle Theft,Motor Vehicle Theft,0,0,441.0,Mountain View,440.0,4.0,Southeastern,800 S 44th ST,SAN DIEGO,CA,92113.0,2023-09-11 08:41:49,M,96.43,32.69772914719601,-117.10027548768748
83,2925653_90G,21049931,2021-10-21 07:20:22,2021-10-22 06:28:56,5,10,2021,25620 BP POSS OPEN CONTAINER OF ALC IN PUBLIC (I) || ,B,"GROUP ""B"" OFFENSES",SO,90G,Liquor Law Violations,Alcohol Violations,0,0,441.0,Mountain View,440.0,4.0,Southeastern,1000 S 45th ST,SAN DIEGO,CA,92113.0,2023-09-11 08:41:49,M,96.55,32.696016202350556,-117.09813612921675
84,3077778_90Z,23011006,2023-03-15 18:00:13,2023-03-15 19:53:04,4,3,2023,BW-F ZZ FELONY BENCH WARRANT (OUR AGENCY) || ,B,"GROUP ""B"" OFFENSES",,90Z,All Other Offenses,All Other Offenses,0,0,116.0,Bay Park,110.0,1.0,Northern,1700 Tecolote RD,SAN DIEGO,CA,92110.0,2023-09-11 08:41:49,M,96.88,32.775193091600116,-117.20051329808834
85,2928278_240_1,21305907,2021-10-28 23:00:00,2021-10-29 19:30:47,5,10,2021,10851 (A) VC TAKE VEHICLE W/O OWNER'S CONSENT/VEHICLE THEFT (F) || ,A,MOTOR VEHICLE THEFT,PR,240,Motor Vehicle Theft,Motor Vehicle Theft,0,0,438.0,Paradise Hills,430.0,4.0,Southeastern,3100 Calle Abajo,SAN DIEGO,CA,91950.0,2023-09-11 08:41:49,M,95.94,32.66445368507758,-117.0662691642948
86,192787_90E,20035366,2020-07-16 08:36:00,2020-07-16 15:24:21,5,7,2020,"647 (F) PC DRUNK IN PUBLIC: ALCOHOL, DRUGS, COMBO OR TOLUENE (M) || ",B,"GROUP ""B"" OFFENSES",SO,90E,Drunkenness,Alcohol Violations,0,0,524.0,Core-Columbia,520.0,5.0,Central,1000 04th AVE,SAN DIEGO,CA,92101.0,2023-09-11 08:41:49,M,96.55,32.71575257191358,-117.16114940955872
87,3068127_290,23006291,2023-02-11 16:45:00,2023-04-12 14:47:47,7,2,2023,594 (B)(1) PC VANDALISM ($400 OR MORE)  (F) || ,A,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,PR,290,Destruction/Damage/Vandalism of Property,Vandalism,0,0,242.0,Mira Mesa,240.0,2.0,Northeastern,11500 Walz CT,SAN DIEGO,CA,92126.0,2023-09-11 08:41:49,M,95.45,32.932237834934924,-117.14668275752372
88,3024048_290,22040638,2022-09-19 19:30:00,2022-09-21 11:34:42,2,9,2022,594 (B)(2)(A) PC VANDALISM [$400 OR LESS]  (M) || ,A,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,PR,290,Destruction/Damage/Vandalism of Property,Vandalism,0,0,124.0,La Jolla,120.0,1.0,Northern,La Jolla PKWY & la Jolla Scenic DR S,SAN DIEGO,CA,92037.0,2023-09-11 08:41:49,M,97.78,32.84427771063201,-117.2415900179918
89,2829623_290,20061522,2020-12-14 22:30:00,2020-12-17 12:01:34,2,12,2020,594 (B)(1) PC VANDALISM ($400 OR MORE)  (F) || ,A,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,PR,290,Destruction/Damage/Vandalism of Property,Vandalism,0,0,446.0,Lincoln Park,440.0,4.0,Southeastern,4700 Imperial AVE,SAN DIEGO,CA,92113.0,2023-09-11 08:41:49,M,95.76,32.70417197928806,-117.09364970334012
90,2972386_13B_3,22013596,2022-03-28 19:39:00,2022-03-29 00:07:15,2,3,2022,243 (A) PC BATTERY ON PERSON  (M) || ,A,ASSAULT OFFENSES,PE,13B,Simple Assault,Simple Assault,0,0,451.0,Oak Park,430.0,4.0,Southeastern,3400 College AVE,SAN DIEGO,CA,92115.0,2023-09-11 08:41:49,M,96.88,32.74407533081173,-117.0532145761046
91,3101142_90D,23022886,2023-05-29 01:55:00,2023-05-31 07:00:41,2,5,2023,23152 (G) VC DUI ALCOHOL/DRUG (M) || ,B,"GROUP ""B"" OFFENSES",SO,90D,Driving Under the Influence,Alcohol Violations,0,0,311.0,Serra Mesa,310.0,3.0,Eastern,7900 Civita BLVD,SAN DIEGO,CA,92108.0,2023-09-11 08:41:49,M,96.88,32.777364974240086,-117.1502722051415
92,2995662_290,22706746,2022-06-10 00:00:01,2022-06-16 14:06:42,6,6,2022,594 (B)(2)(A) PC VANDALISM [$400 OR LESS]  (M) || ,A,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,PR,290,Destruction/Damage/Vandalism of Property,Vandalism,0,0,934.0,Carmel Valley,930.0,9.0,Northwestern,3500 OVERPARK ROAD,SAN DIEGO,CA,92130.0,2023-09-11 08:41:49,M,97.06,32.957205862379055,-117.24074333713408
93,3104967_23H,23024803,2023-06-09 18:00:00,2023-06-10 16:53:43,6,6,2023,487 (A) PC GRAND THEFT:MONEY/LABOR/PROPERTY (F) || ,A,LARCENY/THEFT OFFENSES,PR,23H,All Other Larceny,Larceny,0,1,529.0,Park West,520.0,5.0,Central,2100 Front ST,SAN DIEGO,CA,92101.0,2023-09-11 08:41:49,M,96.55,32.72724714140208,-117.1648900142825
94,2940702_35B,21057979,2021-12-10 07:30:45,2022-02-01 20:58:59,6,12,2021,11364 HS POSS CONTROLLED SUBS PARAPHERNALIA (M) || ,A,DRUG/NARCOTIC OFFENSES,SO,35B,Drug Equipment Violations,Drug/Narcotic Violations,0,0,527.0,Harborview,520.0,5.0,Central,2400 Pacific HWY,SAN DIEGO,CA,92101.0,2023-09-11 08:41:49,M,96.88,32.728512721604446,-117.17334212385964
95,3103364_26F,23024031,2023-06-04 13:00:00,2023-06-05 15:18:54,1,6,2023,530.5 (a) PC GET CREDIT/ETC OTHER'S ID (F) || ,A,FRAUD OFFENSES,PR,26F,Identity Theft,Fraud/Counterfeiting,0,0,511.0,Barrio Logan,510.0,5.0,Central,S 17th ST & logan AVE,SAN DIEGO,CA,92113.0,2023-09-11 08:41:49,M,96.97,32.70443640146329,-117.14852366944716
96,2887371_23G,21029310,2021-06-15 18:05:00,2021-06-25 07:01:37,3,6,2021,487 (A) PC GRAND THEFT (Theft of Mot Veh Parts/Acc) (F) || ,A,LARCENY/THEFT OFFENSES,PR,23G,Theft of Motor Vehicle Parts/Accessories,Larceny,0,1,931.0,Sorrento Valley,930.0,9.0,Northwestern,9900 Olson DR,SD,CA,,2025-03-28 16:18:45,M,100.0,32.88560642108074,-117.1942776098226
97,2842410_23H,21004619,2021-01-27 18:30:00,2021-01-28 16:12:59,4,1,2021,499 b (a) PC TAKE BIKE W/O OWNER'S PERMISSION (M) || ,A,LARCENY/THEFT OFFENSES,PR,23H,All Other Larceny,Larceny,0,1,627.0,Hillcrest,620.0,6.0,Western,1400 Brookes AVE,SAN DIEGO,CA,92103.0,2023-09-11 08:41:49,M,96.88,32.74333605815315,-117.15113225864248
98,2820556_240_1,20304937,2020-11-11 09:00:00,2020-12-15 12:45:24,4,11,2020,10851 (A) VC TAKE VEHICLE W/O OWNER'S CONSENT/VEHICLE THEFT (F) || ,A,MOTOR VEHICLE THEFT,PR,240,Motor Vehicle Theft,Motor Vehicle Theft,0,0,242.0,Mira Mesa,240.0,2.0,Northeastern,8800 Betelgeuse WAY,SAN DIEGO,CA,92126.0,2023-09-11 08:41:49,M,97.14,32.93395551840825,-117.13388416923836
99,3000272_90Z,22028400,2022-07-01 18:05:14,2022-07-02 02:02:28,6,7,2022,3455 PC PRCS VIOLATION || ,B,"GROUP ""B"" OFFENSES",,90Z,All Other Offenses,All Other Offenses,0,0,611.0,Midway District,610.0,6.0,Western,3200 Sports Arena BLVD,SAN DIEGO,CA,92110.0,2023-09-11 08:41:49,M,97.3,32.75289699682157,-117.20752512360986
100,161535_90Z,20016101,2020-03-17 16:55:32,2020-03-18 07:54:12,3,3,2020,23154 (A) VC OPERATE MOTOR VEHICLE W/0.01% OR MORE BAC WHILE ON PROBATION FOR DUI (I) || ,B,"GROUP ""B"" OFFENSES",,90Z,All Other Offenses,All Other Offenses,0,0,112.0,Clairemont Mesa West,110.0,1.0,Northern,4400 Genesee AVE,SAN DIEGO,CA,92117.0,2023-09-11 08:41:49,M,96.88,32.82291270291074,-117.18411585237084
