objectid,nibrs_uniq,case_number,occured_on,approved_on,day_of_week,month,year,code_section,group_type,ibr_category,crime_against,ibr_offense,ibr_offense_description,pd_offense_category,violent_crime,property_crime,beat,neighborhood,service_area,division_number,division,block_addr,city,state,zip,query_run_date,geocode_status,geocode_score,latitude,longitude
30,3130429_240_1,23711075,2023-08-25 09:10:00,2023-08-31 18:25:28,6,8,2023,487 (D) PC GRAND THEFT:AUTO (F) || ,A,MOTOR VEHICLE THEFT,PR,240,Motor Vehicle Theft,Motor Vehicle Theft,0,0,528.0,Little Italy,520.0,5.0,Central,2300 INDIA STREET,SAN DIEGO,CA,92101.0,2023-09-11 08:41:49,M,96.97,32.7283620334114,-117.17036801113568
31,2789089_290,20044082,2020-09-04 13:00:56,2020-09-15 14:51:24,6,9,2020,594 (B)(2)(A) PC VANDALISM [$400 OR LESS]  (M) || ,A,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,PR,290,Destruction/Damage/Vandalism of Property,Vandalism,0,0,838.0,Corridor,830.0,8.0,Mid-City,4200 36th ST,SAN DIEGO,CA,92104.0,2023-09-11 08:41:49,M,96.43,32.753338489878814,-117.11585733418887
32,3048355_13B_3,22053129,2022-12-07 19:30:00,2022-12-08 03:11:48,4,12,2022,273.5 (A) PC SPOUSAL/COHABITANT ABUSE WITH MINOR INJURY (F) || ,A,ASSAULT OFFENSES,PE,13B,Simple Assault,Simple Assault,0,0,725.0,Ocean Crest,720.0,7.0,Southern,1100 Dennery RD,SAN DIEGO,CA,92154.0,2023-09-11 08:41:49,M,96.77,32.57481616836574,-117.03549841172575
33,2825886_90Z,20059407,2020-12-02 16:43:00,2020-12-02 19:37:03,4,12,2020,5150 WI MENTAL DISORDER 72 HR OBSERVATION || ,B,"GROUP ""B"" OFFENSES",,90Z,All Other Offenses,All Other Offenses,0,0,313.0,Kearney Mesa,310.0,3.0,Eastern,9400 Ruffin CT,SAN DIEGO,CA,92123.0,2023-09-11 08:41:49,M,96.67,32.82877648487833,-117.12412481728404
34,3006418_90Z,22031522,2022-07-22 11:28:14,2022-07-22 16:05:39,6,7,2022,5150 WI MENTAL DISORDER 72 HR OBSERVATION || ,B,"GROUP ""B"" OFFENSES",,90Z,All Other Offenses,All Other Offenses,0,0,436.0,Skyline,430.0,4.0,Southeastern,7500 Black Oak RD,SAN DIEGO,CA,92114.0,2023-09-11 08:41:49,M,96.88,32.70750882300295,-117.03639016737624
35,180075_90Z,20027864,2020-05-29 15:00:00,2020-06-02 07:03:30,6,5,2020,148 (A)(1) PC OBSTRUCT/RESIST PEACE OFCR/EMER MED TECH (M) || ,B,"GROUP ""B"" OFFENSES",,90Z,All Other Offenses,All Other Offenses,0,0,121.0,Mission Beach,120.0,1.0,Northern,700 Jersey CT,SAN DIEGO,CA,92109.0,2023-09-11 08:41:49,M,96.55,32.77469780234373,-117.25300893188124
36,144211_90Z,20005203,2020-01-26 18:15:23,2020-01-26 23:36:29,1,1,2020,5150 WI MENTAL DISORDER 72 HR OBSERVATION || ,B,"GROUP ""B"" OFFENSES",,90Z,All Other Offenses,All Other Offenses,0,0,931.0,Sorrento Valley,930.0,9.0,Northwestern,6700 Mira Mesa BLVD,SAN DIEGO,CA,92121.0,2023-09-11 08:41:49,M,97.06,32.907130253068814,-117.17415362446684
37,180266_23G,20028004,2020-05-30 03:39:28,2020-05-31 10:46:19,7,5,2020,487 (A) PC GRAND THEFT (Theft of Mot Veh Parts/Acc) (F) || ,A,LARCENY/THEFT OFFENSES,PR,23G,Theft of Motor Vehicle Parts/Accessories,Larceny,0,1,116.0,Bay Park,110.0,1.0,Northern,3600 Paul Jones AVE,SAN DIEGO,CA,92117.0,2023-09-11 08:41:49,M,97.06,32.80435689099897,-117.2122727056398
38,3126151_90E,23035496,2023-08-16 21:25:00,2023-08-17 04:03:18,4,8,2023,"647 (F) PC DRUNK IN PUBLIC: ALCOHOL, DRUGS, COMBO OR TOLUENE (M) || ",B,"GROUP ""B"" OFFENSES",SO,90E,Drunkenness,Alcohol Violations,0,0,528.0,Little Italy,520.0,5.0,Central,400 W Elm ST,SAN DIEGO,CA,92101.0,2023-09-11 08:41:49,M,96.3,32.723976925752524,-117.1667396863918
39,2789098_23H,20044091,2020-09-04 04:36:00,2020-09-14 13:00:41,6,9,2020,488 PC PETTY THEFT(All Other Larceny) (M) || ,A,LARCENY/THEFT OFFENSES,PR,23H,All Other Larceny,Larceny,0,1,835.0,Azalea/Hollywood Park,830.0,8.0,Mid-City,2800 Fairmount AVE,SAN DIEGO,CA,92105.0,2023-09-11 08:41:49,M,97.06,32.73522154353035,-117.10110386283868
40,170391_23F,20021768,2020-04-22 02:00:00,2020-04-22 11:28:56,4,4,2020,488 PC PETTY THEFT(from Veh) (M) || ,A,LARCENY/THEFT OFFENSES,PR,23F,Theft From Motor Vehicle,Theft From Motor Vehicle,0,1,122.0,Pacific Beach,120.0,1.0,Northern,1500 Monmouth DR,SAN DIEGO,CA,92109.0,2023-09-11 08:41:49,M,96.88,32.80709913247628,-117.244473735267
41,157848_35B,20013778,2020-03-06 02:54:00,2020-03-10 13:27:06,6,3,2020,11364 HS POSS CONTROLLED SUBS PARAPHERNALIA (M) || ,A,DRUG/NARCOTIC OFFENSES,SO,35B,Drug Equipment Violations,Drug/Narcotic Violations,0,0,116.0,Bay Park,110.0,1.0,Northern,,SD,CA,92110.0,2025-03-28 17:10:13.560000,M,95.56,32.77508505447605,-117.20067375090976
42,2784507_26C,20041365,2020-08-17 19:15:00,2020-08-20 20:08:46,2,8,2020,530 PC PERSONATE TO GET MONEY/PROP [OVER $400] (F) || ,A,FRAUD OFFENSES,PR,26C,Impersonation,Fraud/Counterfeiting,0,0,933.0,Del Mar Heights,930.0,9.0,Northwestern,14200 Minorca CV,SAN DIEGO,CA,92014.0,2023-09-11 08:41:49,M,96.88,32.95608203844252,-117.24673588549416
43,166791_90Z,20019472,2020-04-07 00:36:58,2020-04-08 12:24:41,3,4,2020,12500 (A) VC DRVG WITHOUT VALID DRVR'S LIC (M) || 23123.5 (A) VC PROHIBIT TEXT-BASED COMMUNICATION WHILE DRIVING (I) || ,B,"GROUP ""B"" OFFENSES",,90Z,All Other Offenses,All Other Offenses,0,0,114.0,North Clairemont,110.0,1.0,Northern,4400 Clairemont Mesa BLVD,SAN DIEGO,CA,92117.0,2023-09-11 08:41:49,M,97.5,32.83449550953909,-117.19768260686756
44,3017530_90D,22205001,2022-08-28 20:48:00,2022-08-29 02:14:31,1,8,2022,23152 (A) VC DUI ALCOHOL (M) || ,B,"GROUP ""B"" OFFENSES",SO,90D,Driving Under the Influence,Alcohol Violations,0,0,314.0,Birdland,310.0,3.0,Eastern,7900 Front ST,San Diego,CA,92123.0,2023-09-11 08:41:49,M,91.34,32.80031407680202,-117.15524744204517
45,3056145_23G,23000454,2023-01-02 22:00:00,2023-01-04 13:00:47,2,1,2023,488 PC PETTY THEFT(Mot Veh Parts) (M) || ,A,LARCENY/THEFT OFFENSES,PR,23G,Theft of Motor Vehicle Parts/Accessories,Larceny,0,1,813.0,North Park,810.0,8.0,Mid-City,3000 Suncrest DR,SAN DIEGO,CA,92116.0,2023-09-11 08:41:49,M,96.88,32.76385963632135,-117.13015169638028
46,2849611_120,21008603,2021-02-24 21:00:00,2021-03-18 20:10:34,4,2,2021,211 PC ROBBERY (F) || ,A,ROBBERY,PR,120,Robbery,Robbery,1,0,518.0,South Park,510.0,5.0,Central,1000 26th ST,SAN DIEGO,CA,92102.0,2024-03-25 21:28:05.353000,M,95.36,32.71587298644713,-117.13825854018924
47,194414_200,20036367,2020-07-20 17:00:00,2023-03-07 15:45:28,2,7,2020,451 (D) PC ARSON:PROP (F) || ,A,ARSON,PR,200,Arson,Arson,0,0,627.0,Hillcrest,620.0,6.0,Western,03rd AVE & washington ST,SAN DIEGO,CA,92103.0,2023-09-11 08:41:49,M,97.3,32.74991321542201,-117.16276174375813
48,2829881_90Z,20061665,2020-12-16 02:00:53,2020-12-16 05:36:42,4,12,2020,5150 WI MENTAL DISORDER 72 HR OBSERVATION || ,B,"GROUP ""B"" OFFENSES",,90Z,All Other Offenses,All Other Offenses,0,0,242.0,Mira Mesa,240.0,2.0,Northeastern,8700 Mira Mesa BLVD,SAN DIEGO,CA,92126.0,2023-09-11 08:41:49,M,97.06,32.912901688232886,-117.13657307621216
49,187525_23C,20032266,2020-06-26 14:43:00,2020-06-27 19:03:15,6,6,2020,488 PC PETTY THEFT(Shoplift) (M) || ,A,LARCENY/THEFT OFFENSES,PR,23C,Shoplifting,Larceny,0,1,935.0,North City,930.0,9.0,Northwestern,2700 Via De La Valle,SAN DIEGO,CA,92014.0,2023-09-11 08:41:49,M,97.06,32.980892909235536,-117.24868764560564
50,2969744_290,22012135,2022-03-20 11:46:39,2022-04-21 06:30:33,1,3,2022,594 (B)(2)(A) PC VANDALISM [$400 OR LESS]  (M) || ,A,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,PR,290,Destruction/Damage/Vandalism of Property,Vandalism,0,0,242.0,Mira Mesa,240.0,2.0,Northeastern,8700 Stanwell ST,SAN DIEGO,CA,92126.0,2023-09-11 08:41:49,M,96.88,32.91202104438419,-117.13678814776812
51,2892552_23F,21706928,2021-07-01 21:00:00,2021-07-09 05:37:16,5,7,2021,488 PC PETTY THEFT(from Veh) (M) || ,A,LARCENY/THEFT OFFENSES,PR,23F,Theft From Motor Vehicle,Theft From Motor Vehicle,0,1,616.0,La Playa,610.0,6.0,Western,2000 SHELTER ISLAND DRIVE,SAN DIEGO,CA,92106.0,2023-09-11 08:41:49,M,97.5,32.71486095967607,-117.22520564676276
52,3050439_240_1,22307058,2022-12-14 14:07:17,2022-12-15 14:49:39,4,12,2022,10851 (A) VC TAKE VEHICLE W/O OWNER'S CONSENT/VEHICLE THEFT (F) || ,A,MOTOR VEHICLE THEFT,PR,240,Motor Vehicle Theft,Motor Vehicle Theft,0,0,721.0,Egger Highlands,720.0,7.0,Southern,1600 Donax AVE,SAN DIEGO,CA,92154.0,2023-09-11 08:41:49,M,96.67,32.58207155455223,-117.09941428361164
53,188428_23H,20705033,2020-06-26 16:20:00,2020-06-30 08:45:07,6,6,2020,488 PC PETTY THEFT(All Other Larceny) (M) || ,A,LARCENY/THEFT OFFENSES,PR,23H,All Other Larceny,Larceny,0,1,124.0,La Jolla,120.0,1.0,Northern,,,CA,92037.0,2025-03-28 16:18:45,U,0.0,,
